City,Cases,Deaths,Date Updated
"Hubei province
(including Wuhan)","4,586",162,30-Jan-20
Zhejiang province,428,0,30-Jan-20
Guangdong province,311,0,30-Jan-20
Henan province,278,2,30-Jan-20
Hunan province,277,0,30-Jan-20
Anhui province,200,0,30-Jan-20
Chongqing,165,0,30-Jan-20
Jiangxi province,162,0,30-Jan-20
Shandong province,145,0,30-Jan-20
Sichuan province,142,1,30-Jan-20
Jiangsu province,129,0,30-Jan-20
Beijing,114,1,30-Jan-20
Shanghai,112,1,30-Jan-20
Fujian province,101,0,30-Jan-20
Guangxi Region,78,0,30-Jan-20
Yunnan province,70,0,30-Jan-20
Hebei province,65,1,30-Jan-20
Shaanxi province,63,0,30-Jan-20
Hainan province,46,1,30-Jan-20
Heilongjiang province,43,1,30-Jan-20
Liaoning province,41,0,30-Jan-20
Shanxi province,35,0,30-Jan-20
Tianjin,29,0,30-Jan-20
Gansu province,26,0,30-Jan-20
Inner Mongolia,18,0,30-Jan-20
Ningxia Region,17,0,30-Jan-20
Jilin province,14,0,30-Jan-20
Xinjiang,14,0,30-Jan-20
Guizhou province,12,0,30-Jan-20
Qinghai province,6,0,30-Jan-20
Tibet,1,0,30-Jan-20
Hong Kong,10,0,30-Jan-20
Taiwan,8,0,30-Jan-20
Macau,7,0,30-Jan-20
Thailand,14,0,30-Jan-20
Japan,11,0,30-Jan-20
Singapore,10,0,30-Jan-20
Malaysia,8,0,30-Jan-20
Australia,7,0,30-Jan-20
France,5,0,30-Jan-20
United States,5,0,30-Jan-20
Germany,4,0,30-Jan-20
South Korea,4,0,30-Jan-20
UAE,4,0,30-Jan-20
Canada,3,0,30-Jan-20
Vietnam,2,0,30-Jan-20
Nepal,1,0,30-Jan-20
Cambodia,1,0,30-Jan-20
Sri Lanka,1,0,30-Jan-20
Finland,1,0,30-Jan-20
"Hubei province
(including Wuhan)","5,806",204,31-Jan-20
Zhejiang province,537,0,31-Jan-20
Guangdong province,393,0,31-Jan-20
Henan province,352,2,31-Jan-20
Hunan province,332,0,31-Jan-20
Anhui province,237,0,31-Jan-20
Chongqing,206,0,31-Jan-20
Jiangxi province,240,0,31-Jan-20
Shandong province,178,0,31-Jan-20
Sichuan province,177,1,31-Jan-20
Jiangsu province,168,0,31-Jan-20
